State,Year,Quarter,Transaction_Type,Amount,Trans_Count
Andaman & Nicobar Islands,2020,1,Financial Services,208231.73071652642,66
Andaman & Nicobar Islands,2020,1,Others,332393.19201521645,216
Andaman & Nicobar Islands,2020,2,Recharge & bill payments,17659622.73418829,38125
Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,141728757.73517442,20303
Andaman & Nicobar Islands,2020,2,Merchant payments,9236375.740471343,4004
Andaman & Nicobar Islands,2020,2,Financial Services,706932.1397115812,175
Andaman & Nicobar Islands,2020,2,Others,313313.0646014327,355
Andaman & Nicobar Islands,2020,3,Recharge & bill payments,24756220.875469353,59310
Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,289078946.7312394,40697
Andaman & Nicobar Islands,2020,3,Merchant payments,22682992.238478824,16096
Andaman & Nicobar Islands,2020,3,Financial Services,961836.7129860274,572
Andaman & Nicobar Islands,2020,3,Others,539449.7721868362,808
Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,533316526.1814983,81439
Andaman & Nicobar Islands,2020,4,Recharge & bill payments,33710030.534383245,80811
Andaman & Nicobar Islands,2020,4,Merchant payments,56867468.940003954,59391
Andaman & Nicobar Islands,2020,4,Financial Services,1880546.9672370641,965
Andaman & Nicobar Islands,2020,4,Others,1508083.6917299272,1925
Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,665391395.715478,105458
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,37160922.86506996,84119
Andaman & Nicobar Islands,2021,1,Merchant payments,78606979.05751458,53090
Andaman & Nicobar Islands,2021,1,Financial Services,1469351.0852598653,884
Andaman & Nicobar Islands,2021,1,Others,1077918.666433228,1201
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,748382044.7707307,132772
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,43691961.26275121,120911
Andaman & Nicobar Islands,2021,2,Merchant payments,103707408.50908463,85143
Andaman & Nicobar Islands,2021,2,Financial Services,2038521.5136710338,960
Andaman & Nicobar Islands,2021,2,Others,1327080.0560584562,1628
Andaman & Nicobar Islands,2021,3,Peer-to-peer payments,1077787837.1562996,192321
Andaman & Nicobar Islands,2021,3,Recharge & bill payments,51243450.85925055,136010
Andaman & Nicobar Islands,2021,3,Merchant payments,176991328.21761328,118340
Andaman & Nicobar Islands,2021,3,Financial Services,2351013.441729573,990
Andaman & Nicobar Islands,2021,3,Others,1650766.1267105162,2103
Andaman & Nicobar Islands,2021,4,Peer-to-peer payments,1544932663.2744582,285778
Andaman & Nicobar Islands,2021,4,Merchant payments,322842314.62433755,210164
Andaman & Nicobar Islands,2021,4,Recharge & bill payments,59243518.11464358,135608
Andaman & Nicobar Islands,2021,4,Financial Services,3137965.167474068,1718
Andaman & Nicobar Islands,2021,4,Others,2453640.142743944,2855
Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,1682328505.7254477,342649
Andaman & Nicobar Islands,2022,1,Merchant payments,370091558.68373305,284298
Andaman & Nicobar Islands,2022,1,Recharge & bill payments,71300133.66101266,163401
Andaman & Nicobar Islands,2022,1,Financial Services,2869682.0229511866,1757
Andaman & Nicobar Islands,2022,1,Others,2440321.9820225406,2643
Andaman & Nicobar Islands,2022,2,Merchant payments,510838980.9061847,449540
Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,2088309073.4552848,437606
Andaman & Nicobar Islands,2022,2,Recharge & bill payments,82232936.61795366,179515
Andaman & Nicobar Islands,2022,2,Financial Services,2089862.3927160464,1448
Andaman & Nicobar Islands,2022,2,Others,2449496.7081265687,3108
Andaman & Nicobar Islands,2022,3,Merchant payments,693438186.296541,716105
Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,2514535154.56483,622217
Andaman & Nicobar Islands,2022,3,Recharge & bill payments,97748065.62714244,240766
Andaman & Nicobar Islands,2022,3,Financial Services,2166304.9779766416,1814
Andaman & Nicobar Islands,2022,3,Others,2744060.670897343,3477
Andaman & Nicobar Islands,2022,4,Merchant payments,906365300.6585041,956536
Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,2961630584.8271313,768758
Andaman & Nicobar Islands,2022,4,Recharge & bill payments,110037119.66941178,256050
Andaman & Nicobar Islands,2022,4,Financial Services,3533987.2301130476,2499
Andaman & Nicobar Islands,2022,4,Others,3107412.043626394,3692
Andaman & Nicobar Islands,2023,1,Merchant payments,1008821751.0,1122063
Andaman & Nicobar Islands,2023,1,Peer-to-peer payments,3299762230.0,862347
Andaman & Nicobar Islands,2023,1,Recharge & bill payments,146338470.0,286024
Andaman & Nicobar Islands,2023,1,Financial Services,3556954.0,2515
Andaman & Nicobar Islands,2023,1,Others,3049182.0,3443
Andaman & Nicobar Islands,2023,2,Merchant payments,1159905474.0,1410653
Andaman & Nicobar Islands,2023,2,Peer-to-peer payments,3664415887.0,970525
Andaman & Nicobar Islands,2023,2,Recharge & bill payments,158455723.0,320922
Andaman & Nicobar Islands,2023,2,Financial Services,4161814.0,2158
Andaman & Nicobar Islands,2023,2,Others,3405338.0,3517
Andaman & Nicobar Islands,2023,3,Merchant payments,1289780198.0,1657848
Andaman & Nicobar Islands,2023,3,Peer-to-peer payments,3757627272.0,1111211
Andaman & Nicobar Islands,2023,3,Recharge & bill payments,157992380.0,323935
Andaman & Nicobar Islands,2023,3,Financial Services,3850023.0,2199
Andaman & Nicobar Islands,2023,3,Others,2346918.0,3183
Andaman & Nicobar Islands,2023,4,Merchant payments,1653303276.0,2039888
Andaman & Nicobar Islands,2023,4,Peer-to-peer payments,4420459049.0,1321796
Andaman & Nicobar Islands,2023,4,Recharge & bill payments,185028400.0,327460
Andaman & Nicobar Islands,2023,4,Financial Services,7836466.0,3276
Andaman & Nicobar Islands,2023,4,Others,2925308.0,3363
Andhra Pradesh,2018,1,Recharge & bill payments,892293975.6698562,5027448
Andhra Pradesh,2018,1,Peer-to-peer payments,10524250283.178782,3049646
Andhra Pradesh,2018,1,Merchant payments,247297640.24000686,362672
Andhra Pradesh,2018,1,Financial Services,44808449.7639544,204305
Andhra Pradesh,2018,1,Others,287626042.970705,395514
Andhra Pradesh,2018,2,Recharge & bill payments,1598591488.4880352,6456387
Andhra Pradesh,2018,2,Peer-to-peer payments,20451493098.8953,4745000
Andhra Pradesh,2018,2,Merchant payments,436785223.86032957,604847
Andhra Pradesh,2018,2,Financial Services,68952114.81374599,225621
Andhra Pradesh,2018,2,Others,328092346.575651,322063
Andhra Pradesh,2018,3,Peer-to-peer payments,32738630444.668724,16129591
Andhra Pradesh,2018,3,Recharge & bill payments,1949098146.8941927,7542005
Andhra Pradesh,2018,3,Merchant payments,685277254.5076212,1225416
Andhra Pradesh,2018,3,Financial Services,60790077.57437308,380324
Andhra Pradesh,2018,3,Others,284248675.5700202,348725
Andhra Pradesh,2018,4,Peer-to-peer payments,47011639726.13608,17580086
Andhra Pradesh,2018,4,Recharge & bill payments,2418164314.470957,9767083
Andhra Pradesh,2018,4,Merchant payments,1671585888.568256,2622131
Andhra Pradesh,2018,4,Financial Services,57178116.40322068,400837
Andhra Pradesh,2018,4,Others,315211361.26249415,389411
Andhra Pradesh,2019,1,Peer-to-peer payments,77524329742.2595,37420988
Andhra Pradesh,2019,1,Recharge & bill payments,3480641602.3771377,14022264
Andhra Pradesh,2019,1,Merchant payments,2423536770.3706346,5043682
Andhra Pradesh,2019,1,Financial Services,47150177.52982048,416325
Andhra Pradesh,2019,1,Others,284937624.5393019,361263
Andhra Pradesh,2019,2,Peer-to-peer payments,103924649232.47021,32494402
Andhra Pradesh,2019,2,Recharge & bill payments,4708345387.9101095,14093964
Andhra Pradesh,2019,2,Merchant payments,4613405202.681959,9226537
Andhra Pradesh,2019,2,Financial Services,26626696.771042537,145310
Andhra Pradesh,2019,2,Others,361492238.3966455,448802
Andhra Pradesh,2019,3,Peer-to-peer payments,124338645329.51532,39023491
Andhra Pradesh,2019,3,Recharge & bill payments,6893984676.598906,20147629
Andhra Pradesh,2019,3,Merchant payments,7887394038.066369,16581787
Andhra Pradesh,2019,3,Financial Services,29778183.027080443,122270
Andhra Pradesh,2019,3,Others,298142027.58625776,413437
Andhra Pradesh,2019,4,Peer-to-peer payments,178893550050.68753,57181511
Andhra Pradesh,2019,4,Merchant payments,13476303367.50486,25122370
Andhra Pradesh,2019,4,Recharge & bill payments,8335168605.691999,24469888
Andhra Pradesh,2019,4,Financial Services,26796571.745749153,105662
Andhra Pradesh,2019,4,Others,216496893.16102877,338672
Andhra Pradesh,2020,1,Peer-to-peer payments,223088554055.04755,65452143
Andhra Pradesh,2020,1,Merchant payments,18603161784.496994,31408022
Andhra Pradesh,2020,1,Recharge & bill payments,10813530777.973532,30449644
Andhra Pradesh,2020,1,Financial Services,43739133.169823855,75238
Andhra Pradesh,2020,1,Others,188228538.37489766,292310
Andhra Pradesh,2020,2,Peer-to-peer payments,262731724130.7907,73609921
Andhra Pradesh,2020,2,Recharge & bill payments,16991006436.573467,41013987
Andhra Pradesh,2020,2,Merchant payments,22625596525.44269,29976765
Andhra Pradesh,2020,2,Financial Services,145274999.15679634,140941
Andhra Pradesh,2020,2,Others,90087654.60009979,176241
Andhra Pradesh,2020,3,Peer-to-peer payments,406461788252.32056,106791894
Andhra Pradesh,2020,3,Merchant payments,40739580213.86052,54055557
Andhra Pradesh,2020,3,Recharge & bill payments,19475104674.827175,43500067
Andhra Pradesh,2020,3,Financial Services,256074924.7187529,243088
Andhra Pradesh,2020,3,Others,151582519.18136686,312329
Andhra Pradesh,2020,4,Peer-to-peer payments,566639138543.7708,152003791
Andhra Pradesh,2020,4,Merchant payments,66654048149.95168,86581460
Andhra Pradesh,2020,4,Recharge & bill payments,20936337211.557747,46810304
Andhra Pradesh,2020,4,Financial Services,305168772.45601684,265470
Andhra Pradesh,2020,4,Others,306853355.59473807,457527
Andhra Pradesh,2021,1,Peer-to-peer payments,580542193013.0018,149313738
Andhra Pradesh,2021,1,Merchant payments,70813192713.43477,97920281
Andhra Pradesh,2021,1,Recharge & bill payments,20546424964.14482,41940689
Andhra Pradesh,2021,1,Financial Services,270313028.48452014,225355
Andhra Pradesh,2021,1,Others,272546457.5502677,347907
Andhra Pradesh,2021,2,Peer-to-peer payments,737004484057.439,189614879
Andhra Pradesh,2021,2,Merchant payments,88512429436.91248,112875274
Andhra Pradesh,2021,2,Recharge & bill payments,24646800345.106976,49626902
Andhra Pradesh,2021,2,Financial Services,265483044.40124667,243237
Andhra Pradesh,2021,2,Others,308302224.3856007,406842
Andhra Pradesh,2021,3,Peer-to-peer payments,837841124664.307,221280317
Andhra Pradesh,2021,3,Merchant payments,118164377968.16754,158290953
Andhra Pradesh,2021,3,Recharge & bill payments,27511344958.24361,51702350
Andhra Pradesh,2021,3,Financial Services,297239697.83073866,211171
Andhra Pradesh,2021,3,Others,403948275.56756073,547759
Andhra Pradesh,2021,4,Peer-to-peer payments,971269765249.1282,262006450
Andhra Pradesh,2021,4,Merchant payments,152883933596.5386,207538904
Andhra Pradesh,2021,4,Recharge & bill payments,31232784713.985794,51762842
Andhra Pradesh,2021,4,Financial Services,332740108.6635881,243951
Andhra Pradesh,2021,4,Others,545223415.6638832,701856
Andhra Pradesh,2022,1,Peer-to-peer payments,1089629182596.4781,288488560
Andhra Pradesh,2022,1,Merchant payments,169419685917.19562,242031836
Andhra Pradesh,2022,1,Recharge & bill payments,34473036841.83001,51224170
Andhra Pradesh,2022,1,Financial Services,324358965.11859065,231651
Andhra Pradesh,2022,1,Others,474382234.25397474,627694
Andhra Pradesh,2022,2,Peer-to-peer payments,1231408926513.7114,321362337
Andhra Pradesh,2022,2,Merchant payments,205433660654.20898,292530048
Andhra Pradesh,2022,2,Recharge & bill payments,42408541939.06145,56606969
Andhra Pradesh,2022,2,Financial Services,245783011.04455262,192751
Andhra Pradesh,2022,2,Others,357036084.9071137,441925
Andhra Pradesh,2022,3,Peer-to-peer payments,1140164525892.7397,298804000
Andhra Pradesh,2022,3,Merchant payments,202910820650.0824,291033653
Andhra Pradesh,2022,3,Recharge & bill payments,41438764826.20322,52467708
Andhra Pradesh,2022,3,Financial Services,239347241.54655045,187190
Andhra Pradesh,2022,3,Others,323951101.5715289,362484
Andhra Pradesh,2022,4,Merchant payments,211898851397.09848,321632104
Andhra Pradesh,2022,4,Peer-to-peer payments,1170249585983.0112,315734006
Andhra Pradesh,2022,4,Recharge & bill payments,41986837706.47902,52098850
Andhra Pradesh,2022,4,Financial Services,250596592.06465048,206459
Andhra Pradesh,2022,4,Others,339211363.0027188,345658
Andhra Pradesh,2023,1,Merchant payments,311606731877.0,540680395
Andhra Pradesh,2023,1,Peer-to-peer payments,1857818168755.0,514931308
Andhra Pradesh,2023,1,Recharge & bill payments,78817989795.0,89143939
Andhra Pradesh,2023,1,Financial Services,331233097.0,288150
Andhra Pradesh,2023,1,Others,477193006.0,488672
Andhra Pradesh,2023,2,Merchant payments,349602824539.0,634303064
Andhra Pradesh,2023,2,Peer-to-peer payments,2067288068882.0,573455382
Andhra Pradesh,2023,2,Recharge & bill payments,88352183038.0,97202487
Andhra Pradesh,2023,2,Financial Services,386071375.0,316533
Andhra Pradesh,2023,2,Others,409939082.0,379498
Andhra Pradesh,2023,3,Merchant payments,395042164275.0,750265405
Andhra Pradesh,2023,3,Peer-to-peer payments,2163464730936.0,623202203
Andhra Pradesh,2023,3,Recharge & bill payments,94077774967.0,101000645
Andhra Pradesh,2023,3,Financial Services,466791218.0,361584
Andhra Pradesh,2023,3,Others,362636702.0,334566
Andhra Pradesh,2023,4,Merchant payments,427677236042.0,822516631
Andhra Pradesh,2023,4,Peer-to-peer payments,2270766948881.0,673002314
Andhra Pradesh,2023,4,Recharge & bill payments,103186953776.0,100733697
Andhra Pradesh,2023,4,Financial Services,535202901.0,431705
Andhra Pradesh,2023,4,Others,348636223.0,303079
Arunachal Pradesh,2018,1,Recharge & bill payments,5184132.514934338,28729
Arunachal Pradesh,2018,1,Peer-to-peer payments,82889682.72418305,13320
Arunachal Pradesh,2018,1,Merchant payments,2420374.1905855755,1042
Arunachal Pradesh,2018,1,Financial Services,58893.76201533088,416
Arunachal Pradesh,2018,1,Others,1834252.8176908877,1990
Arunachal Pradesh,2018,2,Recharge & bill payments,10468878.537107183,50700
Arunachal Pradesh,2018,2,Peer-to-peer payments,181576281.19464755,26477
Arunachal Pradesh,2018,2,Merchant payments,4718953.439561011,2378
Arunachal Pradesh,2018,2,Financial Services,363761.80159549194,559
Arunachal Pradesh,2018,2,Others,1842317.3691352482,2043
Arunachal Pradesh,2018,3,Recharge & bill payments,15997565.906016497,74122
Arunachal Pradesh,2018,3,Peer-to-peer payments,308106303.45342577,49740
Arunachal Pradesh,2018,3,Merchant payments,5505694.567913429,4738
Arunachal Pradesh,2018,3,Financial Services,72133.845254878,507
Arunachal Pradesh,2018,3,Others,2044708.9687807972,2039
Arunachal Pradesh,2018,4,Recharge & bill payments,20662691.882313278,97751
Arunachal Pradesh,2018,4,Peer-to-peer payments,468831493.2328036,68169
Arunachal Pradesh,2018,4,Merchant payments,11998974.1040326,7726
Arunachal Pradesh,2018,4,Financial Services,100597.90379906222,561
Arunachal Pradesh,2018,4,Others,2446271.9688117937,2222
Arunachal Pradesh,2019,1,Recharge & bill payments,26796894.998233315,121303
Arunachal Pradesh,2019,1,Peer-to-peer payments,568554821.4456317,93494
Arunachal Pradesh,2019,1,Merchant payments,11727218.401334248,9214
Arunachal Pradesh,2019,1,Financial Services,140622.87093631705,256
Arunachal Pradesh,2019,1,Others,2730548.5978140826,2239
Arunachal Pradesh,2019,2,Recharge & bill payments,30420803.41271234,131988
Arunachal Pradesh,2019,2,Peer-to-peer payments,704237943.4054435,106527
Arunachal Pradesh,2019,2,Merchant payments,13955724.130712911,16828
Arunachal Pradesh,2019,2,Financial Services,160660.8821362781,267
Arunachal Pradesh,2019,2,Others,3880742.524023137,3046
Arunachal Pradesh,2019,3,Recharge & bill payments,50946104.94289842,216228
Arunachal Pradesh,2019,3,Peer-to-peer payments,841037395.2474606,133484
Arunachal Pradesh,2019,3,Merchant payments,17178248.07427002,16900
Arunachal Pradesh,2019,3,Financial Services,64089.11350267195,864
Arunachal Pradesh,2019,3,Others,3419197.4177385764,2758
Arunachal Pradesh,2019,4,Recharge & bill payments,63516906.09060433,259183
Arunachal Pradesh,2019,4,Peer-to-peer payments,1100137447.9340453,177833
Arunachal Pradesh,2019,4,Merchant payments,23192271.691576812,19769
Arunachal Pradesh,2019,4,Financial Services,305379.7987782319,314
Arunachal Pradesh,2019,4,Others,3421174.01227797,2376
Arunachal Pradesh,2020,1,Recharge & bill payments,86011654.77474582,329834
Arunachal Pradesh,2020,1,Peer-to-peer payments,1263912288.4066367,203429
Arunachal Pradesh,2020,1,Merchant payments,28553052.133918796,31181
Arunachal Pradesh,2020,1,Financial Services,337812.94816169393,470
Arunachal Pradesh,2020,1,Others,2943873.0666838237,2261
Arunachal Pradesh,2020,2,Recharge & bill payments,145198528.22961134,522495
Arunachal Pradesh,2020,2,Peer-to-peer payments,1630654426.0441835,247861
Arunachal Pradesh,2020,2,Merchant payments,46446966.612447515,35169
Arunachal Pradesh,2020,2,Financial Services,2655507.6964110374,1310
Arunachal Pradesh,2020,2,Others,1761404.4023099935,1939
Arunachal Pradesh,2020,3,Recharge & bill payments,153463816.21184397,514907
Arunachal Pradesh,2020,3,Peer-to-peer payments,2361603431.37578,370418
Arunachal Pradesh,2020,3,Merchant payments,88145178.69272713,72736
Arunachal Pradesh,2020,3,Financial Services,4030599.9171272423,1761
Arunachal Pradesh,2020,3,Others,2695539.3607389224,3005
Arunachal Pradesh,2020,4,Peer-to-peer payments,3254744938.4105625,522019
Arunachal Pradesh,2020,4,Recharge & bill payments,152389181.21743062,513895
Arunachal Pradesh,2020,4,Merchant payments,156682926.02384603,167387
Arunachal Pradesh,2020,4,Financial Services,2391651.8783250954,1749
Arunachal Pradesh,2020,4,Others,4055324.315454754,4079
Arunachal Pradesh,2021,1,Peer-to-peer payments,3460488558.9436507,566209
Arunachal Pradesh,2021,1,Recharge & bill payments,142358376.9003836,450649
Arunachal Pradesh,2021,1,Merchant payments,204958020.0891498,155966
Arunachal Pradesh,2021,1,Financial Services,2672460.4740365944,1558
Arunachal Pradesh,2021,1,Others,3301662.6094231335,3074
Arunachal Pradesh,2021,2,Peer-to-peer payments,4000960152.0755496,762946
Arunachal Pradesh,2021,2,Recharge & bill payments,165579844.25105897,556680
Arunachal Pradesh,2021,2,Merchant payments,283709438.5363142,243375
Arunachal Pradesh,2021,2,Financial Services,2761076.7934988844,1582
Arunachal Pradesh,2021,2,Others,3415105.3379601175,3755
Arunachal Pradesh,2021,3,Peer-to-peer payments,5033603845.032885,986088
Arunachal Pradesh,2021,3,Recharge & bill payments,187390578.30403775,600102
Arunachal Pradesh,2021,3,Merchant payments,449869060.7842621,314658
Arunachal Pradesh,2021,3,Financial Services,3348547.8272713376,1934
Arunachal Pradesh,2021,3,Others,3912143.3503634185,4185
Arunachal Pradesh,2021,4,Peer-to-peer payments,6022733378.120082,1227616
Arunachal Pradesh,2021,4,Recharge & bill payments,207784816.33218512,633248
Arunachal Pradesh,2021,4,Merchant payments,704195694.9939187,521447
Arunachal Pradesh,2021,4,Financial Services,3933557.2795471298,2386
Arunachal Pradesh,2021,4,Others,4862905.885615055,5901
Arunachal Pradesh,2022,1,Peer-to-peer payments,6670641250.45945,1403584
Arunachal Pradesh,2022,1,Merchant payments,917155358.7177179,720803
Arunachal Pradesh,2022,1,Recharge & bill payments,231933129.00412333,670576
Arunachal Pradesh,2022,1,Financial Services,3359625.792926075,3053
Arunachal Pradesh,2022,1,Others,5002264.113148138,6052
Arunachal Pradesh,2022,2,Peer-to-peer payments,7627061474.687715,1751568
Arunachal Pradesh,2022,2,Merchant payments,1255513517.3639429,1108353
Arunachal Pradesh,2022,2,Recharge & bill payments,241162643.19480157,688770
Arunachal Pradesh,2022,2,Financial Services,4063469.0998270046,2466
Arunachal Pradesh,2022,2,Others,3864269.879579009,5768
Arunachal Pradesh,2022,3,Peer-to-peer payments,7365427284.274204,1967086
Arunachal Pradesh,2022,3,Merchant payments,1413247143.4889917,1316326
Arunachal Pradesh,2022,3,Recharge & bill payments,238448083.80779752,649322
Arunachal Pradesh,2022,3,Financial Services,4763324.776043448,1997
Arunachal Pradesh,2022,3,Others,3224948.7015704075,4687
Arunachal Pradesh,2022,4,Peer-to-peer payments,7768088687.67791,2251135
Arunachal Pradesh,2022,4,Merchant payments,1669602212.9174638,1704968
Arunachal Pradesh,2022,4,Recharge & bill payments,239412553.61214688,669151
Arunachal Pradesh,2022,4,Financial Services,3785469.3993366556,2617
Arunachal Pradesh,2022,4,Others,4020773.8953960314,4838
Arunachal Pradesh,2023,1,Peer-to-peer payments,13170741327.0,3879583
Arunachal Pradesh,2023,1,Merchant payments,2802762028.0,2922784
Arunachal Pradesh,2023,1,Recharge & bill payments,409663161.0,1229475
Arunachal Pradesh,2023,1,Financial Services,6310412.0,4142
Arunachal Pradesh,2023,1,Others,5101526.0,6841
Arunachal Pradesh,2023,2,Peer-to-peer payments,15695323405.0,4883817
Arunachal Pradesh,2023,2,Merchant payments,3651614280.0,4091876
Arunachal Pradesh,2023,2,Recharge & bill payments,447452168.0,1374689
Arunachal Pradesh,2023,2,Financial Services,5815474.0,3392
Arunachal Pradesh,2023,2,Others,5493337.0,6714
Arunachal Pradesh,2023,3,Peer-to-peer payments,16351752522.0,5889357
Arunachal Pradesh,2023,3,Merchant payments,4277046551.0,5451474
Arunachal Pradesh,2023,3,Recharge & bill payments,482412481.0,1450780
Arunachal Pradesh,2023,3,Financial Services,11365670.0,4825
Arunachal Pradesh,2023,3,Others,4813862.0,5997
Arunachal Pradesh,2023,4,Peer-to-peer payments,18554712209.0,6678381
Arunachal Pradesh,2023,4,Merchant payments,5043099494.0,6435278
Arunachal Pradesh,2023,4,Recharge & bill payments,515181105.0,1491471
Arunachal Pradesh,2023,4,Financial Services,11079378.0,5573
Arunachal Pradesh,2023,4,Others,4727608.0,7039
Assam,2018,1,Recharge & bill payments,93491181.14056379,632092
Assam,2018,1,Peer-to-peer payments,993525195.9818655,318025
Assam,2018,1,Merchant payments,34501622.89266755,40482
Assam,2018,1,Financial Services,4936862.200688562,18172
Assam,2018,1,Others,31349593.99668264,48110
Assam,2018,2,Recharge & bill payments,174427478.21340805,984160
Assam,2018,2,Peer-to-peer payments,2064314053.1339972,530781
Assam,2018,2,Merchant payments,73366344.80739225,79307
Assam,2018,2,Financial Services,7051504.657611102,22773
Assam,2018,2,Others,31425754.725386057,46852
Assam,2018,3,Recharge & bill payments,254569069.32411742,1275136
Assam,2018,3,Peer-to-peer payments,3424136709.5088205,843571
Assam,2018,3,Merchant payments,96783839.37466942,159532
Assam,2018,3,Financial Services,4741123.821880115,22677
Assam,2018,3,Others,30904247.884785894,50935
Assam,2018,4,Recharge & bill payments,317661277.3470997,1703488
Assam,2018,4,Peer-to-peer payments,5284776455.070784,1279089
Assam,2018,4,Merchant payments,240563395.2777939,667293
Assam,2018,4,Financial Services,6331912.52655252,28035
Assam,2018,4,Others,38689818.79087821,56267
Assam,2019,1,Recharge & bill payments,400281677.94382846,1993220
Assam,2019,1,Peer-to-peer payments,7291433300.700247,1976310
Assam,2019,1,Merchant payments,266644645.74929428,494871
Assam,2019,1,Financial Services,4612454.1127945455,20162
Assam,2019,1,Others,39127457.944687635,48442
Assam,2019,2,Recharge & bill payments,539315772.8606573,2512932
Assam,2019,2,Peer-to-peer payments,10035232820.852964,2293770
Assam,2019,2,Merchant payments,326844709.5879724,573646
Assam,2019,2,Financial Services,4037222.414240564,13654
Assam,2019,2,Others,49538663.41037582,60927
Assam,2019,3,Peer-to-peer payments,11835800855.176552,2713539
Assam,2019,3,Recharge & bill payments,639885372.7480905,2645302
Assam,2019,3,Merchant payments,421380275.4207429,513728
Assam,2019,3,Financial Services,6403456.344768786,8606
Assam,2019,3,Others,46973660.73634353,61396
Assam,2019,4,Peer-to-peer payments,14083346879.361855,3222143
Assam,2019,4,Recharge & bill payments,704118873.972094,2937800
Assam,2019,4,Merchant payments,456318130.082201,544053
Assam,2019,4,Financial Services,3492255.0860687294,9621
Assam,2019,4,Others,34707757.009855896,46893
Assam,2020,1,Peer-to-peer payments,18977446151.768826,4058740
Assam,2020,1,Recharge & bill payments,971722606.1579468,3897975
Assam,2020,1,Merchant payments,675423852.9512749,792646
Assam,2020,1,Financial Services,7054325.507515656,10173
Assam,2020,1,Others,36781411.34368035,49326
Assam,2020,2,Recharge & bill payments,1612522828.7163475,6045321
