State,District,Year,Quarter,Registered_Users,App_Open_Count
Andhra Pradesh,Guntur,2020,3,1567595,62427501
Andhra Pradesh,Krishna,2020,3,1599289,61028114
Andhra Pradesh,Spsr Nellore,2020,3,937176,43951448
Andhra Pradesh,Vizianagaram,2020,3,587784,31199437
Andhra Pradesh,Ysr,2020,3,877909,41578067
Andhra Pradesh,West Godavari,2020,3,1053674,38126238
Andhra Pradesh,Chittoor,2020,3,1506503,69462572
Andhra Pradesh,East Godavari,2020,4,1746280,82605352
Andhra Pradesh,Srikakulam,2020,4,726761,36770992
Andhra Pradesh,Visakhapatnam,2020,4,2209658,124730170
Andhra Pradesh,Prakasam,2020,4,999462,52839846
Andhra Pradesh,Anantapur,2020,4,1295872,69562398
Andhra Pradesh,Kurnool,2020,4,1230466,60615045
Andhra Pradesh,Guntur,2020,4,1712940,81291172
Andhra Pradesh,Krishna,2020,4,1744028,81787771
Andhra Pradesh,Spsr Nellore,2020,4,1022944,54765443
Andhra Pradesh,Vizianagaram,2020,4,634462,35110885
Andhra Pradesh,Ysr,2020,4,959182,49596303
Andhra Pradesh,West Godavari,2020,4,1163179,51170162
Andhra Pradesh,Chittoor,2020,4,1631331,88232999
Andhra Pradesh,East Godavari,2021,1,1878769,91478749
Andhra Pradesh,Srikakulam,2021,1,782604,40590058
Andhra Pradesh,Visakhapatnam,2021,1,2368081,135908324
Andhra Pradesh,Prakasam,2021,1,1075936,56911479
Andhra Pradesh,Anantapur,2021,1,1394849,73375049
Andhra Pradesh,Kurnool,2021,1,1323411,65326230
Andhra Pradesh,Guntur,2021,1,1843237,92731167
Andhra Pradesh,Krishna,2021,1,1876458,92941553
Andhra Pradesh,Spsr Nellore,2021,1,1100541,60691988
Andhra Pradesh,Vizianagaram,2021,1,681621,37752539
Andhra Pradesh,Ysr,2021,1,1032689,53525815
Andhra Pradesh,West Godavari,2021,1,1254117,57392671
Andhra Pradesh,Chittoor,2021,1,1751420,99083825
Andhra Pradesh,East Godavari,2021,2,2006272,84705076
Andhra Pradesh,Srikakulam,2021,2,837958,43740255
Andhra Pradesh,Visakhapatnam,2021,2,2526830,114313154
Andhra Pradesh,Prakasam,2021,2,1151232,76850749
Andhra Pradesh,Anantapur,2021,2,1492738,104568606
Andhra Pradesh,Kurnool,2021,2,1415585,81894678
Andhra Pradesh,Guntur,2021,2,1968681,88248064
Andhra Pradesh,Krishna,2021,2,2002662,85771678
Andhra Pradesh,Spsr Nellore,2021,2,1176334,74049216
Andhra Pradesh,Vizianagaram,2021,2,729509,42684475
Andhra Pradesh,Ysr,2021,2,1103004,72255265
Andhra Pradesh,West Godavari,2021,2,1339377,65118788
Andhra Pradesh,Chittoor,2021,2,1870723,110505432
Andhra Pradesh,East Godavari,2021,3,2150622,103626560
Andhra Pradesh,Srikakulam,2021,3,902008,48622126
Andhra Pradesh,Visakhapatnam,2021,3,2707931,139540800
Andhra Pradesh,Prakasam,2021,3,1239147,91533813
Andhra Pradesh,Anantapur,2021,3,1606735,124985545
Andhra Pradesh,Kurnool,2021,3,1522196,101210508
Andhra Pradesh,Guntur,2021,3,2110878,106621413
Andhra Pradesh,Krishna,2021,3,2145423,104358295
